"%s was added to your shopping cart.","%s esta en su carrito de compras."
"%s was updated in your shopping cart.","%s fue actualizado en su carrito de compras."
"* Required Fields","* Campos Requeridos"
"Add New Address","Añadir Nueva Dirección"
"Add New Condition","Agregar nuevo Estado"
"Add coupon code for shopping cart","Añadir un código promocional para carrito de la compra"
"Add gift messages to shopping cart","Añadir mensajes de regalo a carrito"
"Add product to shopping cart","Añadir producto al carrito de la compra"
"Add product(s) to shopping cart","Añadir producto (s) al carrito de la compra"
"Add to Cart","Añadir a la carrito"
"Add to Compare","Añadir a comparar"
"Add to Wishlist","Añadir a la lista de deseos"
"Additional Product Info","Información adicional del producto"
"Address","Dirección"
"Address %s of %s","Dirección %s de %s"
"After Adding a Product Redirect to Shopping Cart","Tras agregar un producto redirigida a la carrito"
"Allow Guest Checkout","Permitir Invitado Pedido"
"Already registered?","Ya registrado?"
"An error occurred in the process of payment","Se produjo un error en el proceso de pago"
"An error occurred while deleting this condition.","Se produjo un error al eliminar esta condición."
"An error occurred while saving this condition.","Se produjo un error al guardar esta condición."
"Apply Coupon","Aplicar Cupón"
"Are you sure you would like to remove this item from the shopping cart?","¿Estás seguro de que quieres eliminar este elemento de la carrito de la compra?"
"Back","Atrás"
"Back to Billing Information","Volver a la información de facturación"
"Back to Select Addresses","Volver a seleccionar direcciones"
"Back to Shipping Information","Volver a la información del envío"
"Back to Shopping Cart","Volver a la carrito de la compra"
"Based on your selection, you may be interested in the following items:","Sobre la base de su selección, usted puede estar interesado en los siguientes artículos:"
"Billing Address","Dirección De Envio"
"Billing Information","Información De Facturación"
"Billing Information - %s","Información de facturación - %s"
"Cancel Coupon","Cancelar Cupón"
"Cannot add item to the shopping cart.","No se puede añadir el artículo a la carrito de la compra."
"Cannot add the item to shopping cart","No se puede añadir el artículo a la carrito"
"Cannot add the item to shopping cart.","No se puede añadir el artículo a la carrito de la compra."
"Cannot apply the coupon code.","No se puede aplicar el código de descuento."
"Cannot configure product.","No se puede configurar el producto."
"Cannot open the overview page","No se puede abrir la página de la información"
"Cannot process the item.","No se puede procesar el artículo."
"Cannot remove the item.","No se puede eliminar el elemento."
"Cannot update shopping cart.","No se puede actualizar carrito de compras."
"Cannot update the item.","No se puede actualizar el artículo."
"Card Verification Number Visual Reference","Tarjeta del número de Verificación de Referencia Visual"
"Cart Product API","API de la compra del producto"
"Cart Subtotal:","Subtotal del carrito:"
"Change","Cambio"
"Change Billing Address","Cambiar dirección de facturación"
"Checkbox Text","Casilla de texto"
"Checkout","Revisar Pedido"
"Checkout Conditions","Realizar Pedido Condiciones"
"Checkout Method","Método Pedido"
"Checkout Options","Pedido Opciones"
"Checkout Progress Wrapper","Pedido Progreso Envoltura"
"Checkout Section","Pedido Sección"
"Checkout Terms and Conditions","Pedido Términos y Condiciones"
"Checkout as Guest","Pedido como Invitado"
"Checkout as a Guest or Register","Pedido como Invitado o Registro"
"Checkout with Multiple Addresses","Comprar con Múltiples direcciones"
"City","Provincia"
"Clear Shopping Cart","Claro Compras"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Haga clic en <a href=""%s"" onclick=""this.target=\'_blank\'""> aquí para imprimir </a> una copia de la confirmación del pedido."
"Click <a href=""%s"">here</a> to continue shopping.","Haga clic aquí <a href=""%s""> </a> para seguir comprando."
"Close","Cerrar"
"Company","Empresa"
"Condition Name","Condición Nombre"
"Configurable Product Image","Configurable Imagen del producto"
"Configure Cart Item","Configure Compras Artículo"
"Confirm Password","Confirmar Contraseña"
"Content","Contenido"
"Content Height","Contenido Altura"
"Content Height (css)","Contenido Altura (css)"
"Continue","Continuar"
"Continue Shopping","Seguir Comprando"
"Continue to Billing Information","Continuar a la información de facturación"
"Continue to Review Your Order","Continúe Revise Su pedido"
"Continue to Shipping Information","Continuar Información Envios"
"Country","País"
"Coupon code ""%s"" is not valid.","Código de descuento ""%s"" ""no es válido."""
"Coupon code ""%s"" was applied.","Se aplicó. ""Código de descuento"" ""%s"""
"Coupon code was canceled.","Fue cancelado Código de descuento."
"Create Billing Address","Crear dirección de facturación"
"Create Shipping Address","Crear dirección de envío"
"Create an order from shopping cart","Crear una orden de la carrito"
"Create shopping cart","Crear carrito de la compra"
"Customer Address is not valid.","Dirección del cliente no es válido."
"Customer Information","Informacion Al Cliente"
"Customer's information","Información del Cliente"
"Data saving problem","Datos problema al guardar"
"Default Billing","Defecto de Facturación"
"Default Shipping","Por defecto el envío"
"Delete Condition","Eliminar Condiciones"
"Details","Detalles"
"Disabled","Discapacitado"
"Discount Codes","Códigos De Descuento"
"Display Cart Summary","Pantalla Resumen de compra"
"Display Shopping Cart Sidebar","Pantalla Compras Sidebar"
"Display item quantities","Cantidades de artículos Display"
"Display number of items in cart","Mostrar número de artículos en el carrito"
"Display number of items in wishlist","Mostrar el número de elementos en la lista de deseos"
"Easy access to your order history and status","Fácil acceso a su historial de pedidos y el estado"
"Edit","Editar"
"Edit Address","Editar Dirección"
"Edit Billing Address","Editar dirección de facturación"
"Edit Condition","Editar Condición"
"Edit Items","Editar elementos"
"Edit Shipping Address","Editar Dirección de envío"
"Edit Terms and Conditions","Editar Términos y Condiciones"
"Edit Your Cart","Modificar la carrito"
"Edit item","Editar elemento"
"Edit item parameters","Parámetros Editar elemento"
"Email Address","E-mail"
"Enable Onepage Checkout","Habilitar Onepage Pedido"
"Enable Terms and Conditions","Habilitar Términos y Condiciones"
"Enabled","Activado"
"Enter a New Address","Introduzca una nueva dirección"
"Enter your coupon code if you have one.","Ingrese su código de descuento si usted tiene uno."
"Enter your destination to get a shipping estimate.","Ingrese su destino para obtener un precio estimado de envío."
"Estimate Shipping and Tax","Envío e impuesto estimado"
"Excl. Tax","Excl. Impuesto"
"Fast and easy check out","Rápido y fácil salida"
"Fax","Celular"
"Forgot an Item?","¿Ha olvidado un elemento?"
"Forgot your password?","Olvidaste tu contraseña?"
"Get a Quote","Consigue una cotización"
"Get list of available payment methods","Obtener la lista de métodos de pago disponibles"
"Get list of available shipping methods","Obtener lista de métodos de envío disponibles"
"Get list of products in shopping cart","Obtener la lista de los productos en la carrito"
"Get terms and conditions","Obtén términos y condiciones"
"Get total prices for shopping cart","Obtener precios totales de carrito de la compra"
"Gift Message","Mensaje Regalo"
"Grand Total:","Gran Total:"
"Grouped Product Image","Agrupados Imagen del producto"
"HTML","HTML"
"ID","Identificación"
"Incl. Tax","Incl. Impuesto"
"Invalid checkout type.","Tipo de pago válido."
"Invalid data.","Datos no válidos."
"Invalid email address ""%s""","Dirección de correo electrónico no válido ""%s"" """""
"Invalid method: %s","Método no válido:%s"
"Invalid shipping method.","Método de envío no válido."
"Item not found or already ordered","Elemento no encontrado o que ya ordenó"
"Items","Artículos"
"Items After","Artículos Después"
"Items Before","Artículos Antes"
"Load customer quote error","Cargar error cotización al cliente"
"Loading next step...","Cargando siguiente paso ..."
"Login","Iniciar Sesión"
"Login/Registration Before","Entrar / Registro Antes"
"Manage Terms and Conditions","Administrar Términos y Condiciones"
"Maximum Display Recently Added Item(s)","Máxima Display artículo Agregado recientemente (s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Cantidad máxima permitida para el envío a múltiples direcciones es %s"
"Minimum order amount is %s","Cantidad de orden mínima es %s"
"Move","Movimiento"
"Move to Wishlist","Mover a la lista de deseos"
"Multishipping Checkout","Multishipping Pedido"
"Multishipping Checkout Address (Any) Form","Multishipping Pedido Dirección (Cualquiera) Formulario"
"Multishipping Checkout Billing Address Creation","Multishipping Pedido dirección de facturación Creación"
"Multishipping Checkout Billing Address Edit Form","Multishipping Pedido dirección de facturación Editar formulario"
"Multishipping Checkout Billing Address Selection","Multishipping Pedido dirección de facturación Selección"
"Multishipping Checkout Billing Information Step","Multishipping Pedido Información de facturación Paso"
"Multishipping Checkout Customer Address Edit Form","Multishipping Pedido Dirección Cliente Editar formulario"
"Multishipping Checkout Overview","Multishipping Pedido Información general"
"Multishipping Checkout Shipping Address Creation","Dirección Creación Multishipping Pedido Envío"
"Multishipping Checkout Shipping Address Edit Form","Multishipping Pedido Dirección de envío Editar formulario"
"Multishipping Checkout Shipping Address Selection","Selección Dirección Multishipping Pedido Envío"
"Multishipping Checkout Shipping Information Step","Multishipping Pedido Información Envios Paso"
"Multishipping Checkout Success","Multishipping Pedido Éxito"
"My Cart","Mi Carrito"
"My Cart (%s item)","Mi carrito (elemento %s)"
"My Cart (%s items)","Mi carrito (artículos %s)"
"My Cart Link","Mi Carrito Enlace"
"New Address","Nueva Direccion"
"New Condition","Nueva Condición"
"New Terms and Conditions","Nuevos Términos y Condiciones"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","ORDEN TOTALES se mostrará antes de enviar el PEDIDO"
"One Page Checkout","Pedido de una página"
"One Page Checkout Failure","Pedido de una página Fracaso"
"One Page Checkout Overview","Pedido de una página general"
"One Page Checkout Success","Pedido de una página de éxito"
"One item of products do not have identifier or sku","Uno de los puntos de los productos no tienen identificador o sku"
"One item of products is not belong any of quote item","Uno de los puntos de los productos no se pertenece cualquiera de elemento cotización"
"Order #","Orden #"
"Order Review","Revisión Del Pedido"
"Order Success","Solicitar Éxito"
"Order place error.","Orden del lugar de error."
"Other Items in Your Order","Otros artículos en su orden"
"Overview Items After","Generalidades artículos después"
"Password","Contraseña"
"Payment Failed Email Reciever","Pago Error Email Reciever"
"Payment Failed Email Sender","Pago Error Email Sender"
"Payment Failed Emails","Pago Error Emails"
"Payment Failed Template","Pago Plantilla Error"
"Payment Information","Información Del Pago"
"Payment Method","Forma De Pago"
"Payment Methods After Checkout Button","Formas de pago después de la salida del botón"
"Payment Methods Before Checkout Button","Formas de pago Antes Pedido Botón"
"Payment method information","Información Forma de pago"
"Payment method is not defined","Forma de pago no está definido"
"Payment methods in shopping cart","Formas de pago"
"Payment profile # %s: ""%s"".","Pago perfil # %s: ""%s"" ""."""
"Place Order","Realizar Pedido"
"Please agree to all Terms and Conditions before placing the order.","Por favor, estar de acuerdo con todos los términos y condiciones antes de realizar el pedido."
"Please agree to all Terms and Conditions before placing the orders.","Por favor, estar de acuerdo con todos los Términos y Condiciones antes de hacer los pedidos."
"Please agree to all the terms and conditions before placing the order.","Por favor, estar de acuerdo con todos los términos y condiciones antes de realizar el pedido."
"Please check billing address information.","Por favor, consulte la información de dirección de facturación."
"Please check shipping address information.","Por favor, consulte la información de dirección de envío."
"Please check shipping addresses information.","Por favor verifique la información direcciones de envío."
"Please choose to register or to checkout as a guest","Por favor, elija al registrarse o al pago y envío como invitado"
"Please log in below:","Por favor ingrese a continuación:"
"Please select region, state or province","Seleccione región, estado o provincia"
"Please select shipping address for applicable items","Por favor, seleccione la dirección de envío para los artículos aplicables"
"Please select shipping methods for all addresses","Por favor, seleccione los métodos de envío para todas las direcciones"
"Please select valid payment method.","Por favor, seleccione el método de pago válido."
"Please specify payment method.","Por favor, especifique el método de pago."
"Please specify shipping method.","Por favor, especifique el método de envío."
"Please specify shipping methods for all addresses.","Por favor especificar los métodos de envío para todas las direcciones."
"Price","Precio"
"Proceed to Checkout","Pagar"
"Product","Producto"
"Product Name","Producto"
"Products","Productos"
"Qty","Cant"
"Qty:","Cant:"
"Quantity was recalculated from %d to %d","Cantidad se volvió a calcular a partir de %d para %d"
"Quote Lifetime (days)","Cita de por vida (días)"
"Quote item does not exist.","Cita elemento no existe."
"Quote item is not found.","Cita elemento no se encuentra."
"Recently added item(s)","Artículo recientemente agregado (s)"
"Register","Registrarse"
"Register and save time!","Registrar y ahorrar tiempo!"
"Register to Create an Account","Registrarse para Crear Cuenta"
"Register with us for future convenience:","Regístrese con nosotros para una futura conveniencia:"
"Remove Item","Remover El Artículo"
"Remove This Item","Quitar este artículo"
"Remove coupon code from shopping cart","Quite el código de cupón de la carrito"
"Remove item","Quitar el artículo"
"Remove product from shopping cart","Quitar producto de la carrito"
"Remove product(s) from shopping cart","Retire producto (s) de la carrito"
"Require Customer To Be Logged In To Checkout","Requerir al Cliente que estar conectado A la caja"
"Retrieve information about shopping cart","Recuperar información sobre el carrito de la compra"
"Review Order","Revisar pedido"
"Review Order - %s","Revise orden - %s"
"Sales","Ventas"
"Save Condition","Guardar Condición"
"Save in address book","Guardar en la libreta de direcciones"
"See price before order confirmation.","Ver precio antes de la confirmación del pedido."
"Select Address","Seleccione Dirección"
"Select Addresses","Seleccionar Direcciones"
"Select Shipping Method","Seleccione Método de envío"
"Select State/Province...","Seleccione Estado / Provincia ..."
"Select a billing address from your address book or enter a new address.","Seleccione una dirección de facturación de su libreta de direcciones o introduzca una nueva dirección."
"Select a shipping address from your address book or enter a new address.","Seleccione una dirección de envío de su libreta de direcciones o introduzca una nueva dirección."
"Send Payment Failed Email Copy Method","Enviar Pago Error Email Método Copy"
"Send Payment Failed Email Copy To","Enviar Pago Error Email Copiar a"
"Send To","Enviar A"
"Separate by "","".","Separada por "","" ""."""
"Set customer for shopping cart","Cliente determinado para el carrito"
"Set customer's addresses in shopping cart","Establecer direcciones de los clientes en la carrito"
"Set payment method","Método de pago"
"Set shipping method","Método envío"
"Ship to Multiple Addresses","Enviar a múltiples direcciones"
"Ship to different address","Otra dirección de envío"
"Ship to this address","Enviar a esta direccion"
"Shipping Address","Dirección De Envío"
"Shipping Information","Información De Envío"
"Shipping Method","Método De Envío"
"Shipping Methods","Métodos De Envío"
"Shipping To","El Envío A"
"Shipping information","Información de envío"
"Shipping method has not been selected yet","Método del envío no se ha seleccionado aún"
"Shipping methods in shopping cart","Métodos del envío en la carrito"
"Shipping selection is not applicable.","Selección de envío no es aplicable."
"Shopping Cart","Carrito De Compras"
"Shopping Cart Form Before","Compras Formulario Antes"
"Shopping Cart Sidebar","Compras Sidebar"
"Shopping Cart Sidebar Extra Actions","Compras Sidebar acciones adicionales"
"Shopping Cart is Empty","Carro de compras está vacío"
"Shopping cart ability to set coupon code","Carrito de la compra capacidad de establecer el código de cupón"
"Show Content as","Mostrar Contenido"
"Some of the requested products are not available in the desired quantity.","Algunos de los productos solicitados no están disponibles en la cantidad deseada."
"Some of the requested products are unavailable.","Algunos de los productos solicitados no están disponibles."
"Some products quantities were recalculated because of quantity increment mismatch","Algunas cantidades productos fueron recalculados debido a cantidad de incremento de desajuste"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Lo sentimos, la caja de invitados no está habilitado. Vuelva a intentarlo o póngase en contacto con propietario de la tienda."
"Sorry, guest checkout is not enabled. Please try again or contact the store owner.","Lo sentimos, la caja de invitados no está habilitado. Vuelva a intentarlo o póngase en contacto con el dueño de la tienda."
"Sorry, no quotes are available for this order at this time.","Lo sentimos, no hay citas disponibles para este fin en este momento."
"State/Province","Estado / Provincia"
"Status","Estado"
"Store View","Ver tienda"
"Street Address","Dirección"
"Street Address %s","Dirección %s"
"Submitting order information...","Envío de información de la orden ..."
"Subtotal","Sub Total"
"Subtotal must exceed minimum order amount","Subtotal debe exceder la cantidad mínima de pedido"
"Telephone","Teléfono"
"Terms and Conditions","Términos y Condiciones"
"Terms and Conditions Information","Términos y Condiciones Información"
"Terms and conditions","Términos y Condiciones"
"Text","Texto"
"Thank you for your purchase!","Gracias por su compra!"
"The condition has been deleted","La condición ha sido eliminada"
"The condition has been saved.","La condición se ha guardado."
"The onepage checkout is disabled.","El pago y envío onepage está desactivado."
"The product could not be found.","El producto no se pudo encontrar."
"The product does not exist.","El producto no existe."
"There are <a href=""%s"">%s items</a> in your cart.","Hay <a href=""%s"">%s artículos </a> en su carrito."
"There is <a href=""%s"">1 item</a> in your cart.","Hay <a href=""%s""> 1 artículo </a> en su carrito."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Ya existe un cliente registrado con esta dirección de correo electrónico. Por favor ingresa usando esta dirección de correo electrónico o introducir una dirección de correo electrónico diferente para registrar su cuenta."
"There was an error processing your order. Please contact us or try again later.","Hubo un error al procesar su pedido. Póngase en contacto con nosotros o vuelve a intentarlo más tarde."
"This condition no longer exists.","Esta condición ya no existe."
"Total","Total"
"Total for this address","Total para esta dirección"
"Unable to set Payment Method.","No se puede establecer el método de pago."
"Unit Price","Precio Unitario"
"Update Cart","Actualización De La Compra"
"Update Qty &amp; Addresses","Actualización Cant & amp; Direcciones"
"Update Shopping Cart","Actualización de Compras"
"Update Total","Actualización total"
"Update product quantities in shopping cart","Actualización de cantidades de productos en la carrito"
"Update product(s) quantities in shopping cart","Actualización de producto (s) cantidades en la carrito de la compra"
"Use Billing Address","Utilice La Dirección De Facturación"
"VAT Number","Número de valor agregado"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Estamos procesando su pedido y pronto recibirá un correo electrónico con los detalles de la orden. Una vez que el pedido ha sido enviado, usted recibirá otro email con un enlace para el seguimiento de su progreso."
"What's this?","Qué es esto?"
"You have no items in your shopping cart.","No tiene artículos en su carrito de compras."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Usted recibirá un correo electrónico de confirmación de pedido con los detalles de su pedido y un enlace para realizar un seguimiento de su progreso."
"Your Checkout Progress","Su Pedido Progreso"
"Your billing agreement # is: %s.","Su acuerdo de facturación # es:%s."
"Your order # is: %s.","Su orden # es:%s."
