PER,Región/Estado,Ciudad,Distrito,Zip/Postal Code From,Zip/Postal Code To,Weight From,Weight To,Precio de envío,Delivery Type
PER,AMAZONAS                                                                        ,BAGUA                                                                           ,BAGUA                                                                           ,*,*,0,99,0,Recoger en tienda
PER,AMAZONAS                                                                        ,BAGUA                                                                           ,BAGUA                                                                           ,*,*,0,2.2,10,Olva Courier
PER,AMAZONAS                                                                        ,BAGUA                                                                           ,BAGUA                                                                           ,*,*,0,2.2,6.5,Serpost
PER,AMAZONAS                                                                        ,BAGUA                                                                           ,ARAMANGO                                                                        ,*,*,0,99,0,Recoger en tienda
PER,AMAZONAS                                                                        ,BAGUA                                                                           ,ARAMANGO                                                                        ,*,*,2.22,4.4,10.5,Serpost
PER,AMAZONAS                                                                        ,BAGUA                                                                           ,ARAMANGO                                                                        ,*,*,2.22,4.4,12,Olva Courier
PER,AMAZONAS                                                                        ,BAGUA                                                                           ,COPALLIN                                                                        ,*,*,0,99,0,Recoger en tienda
PER,AMAZONAS                                                                        ,BAGUA                                                                           ,COPALLIN                                                                        ,*,*,2.22,4.4,10.5,Serpost
PER,AMAZONAS                                                                        ,BAGUA                                                                           ,EL PARCO                                                                        ,*,*,0,99,0,Recoger en tienda
PER,AMAZONAS                                                                        ,BAGUA                                                                           ,EL PARCO                                                                        ,*,*,2.22,4.4,10.5,Serpost
PER,AMAZONAS                                                                        ,BAGUA                                                                           ,IMAZA                                                                           ,*,*,2.22,4.4,10.5,Serpost
PER,AMAZONAS                                                                        ,BAGUA                                                                           ,IMAZA                                                                           ,*,*,2.22,4.4,12,Olva Courier
PER,AMAZONAS                                                                        ,BAGUA                                                                           ,LA PECA                                                                         ,*,*,4.42,6.6,14.5,Serpost
PER,AMAZONAS                                                                        ,BAGUA                                                                           ,LA PECA                                                                         ,*,*,4.42,6.6,14,Olva Courier
PER,AMAZONAS                                                                        ,BONGARA                                                                         ,JUMBILLA                                                                        ,*,*,6.62,8.8,18.5,Serpost
PER,AMAZONAS                                                                        ,BONGARA                                                                         ,CHISQUILLA                                                                      ,*,*,6.62,8.8,16,Olva Courier
PER,AMAZONAS                                                                        ,BONGARA                                                                         ,CHURUJA                                                                         ,*,*,8.82,11,22.5,Serpost
PER,AMAZONAS                                                                        ,BONGARA                                                                         ,COROSHA                                                                         ,*,*,8.82,11,18,Olva Courier
PER,AMAZONAS                                                                        ,BONGARA                                                                         ,CUISPES                                                                         ,*,*,11.02,13.2,26.5,Serpost
PER,AMAZONAS                                                                        ,BONGARA                                                                         ,FLORIDA                                                                         ,*,*,11.02,13.2,20,Olva Courier
PER,AMAZONAS                                                                        ,BONGARA                                                                         ,JAZAN                                                                           ,*,*,13.22,15.4,30.5,Serpost
PER,AMAZONAS                                                                        ,BONGARA                                                                         ,RECTA                                                                           ,*,*,13.22,15.4,22,Olva Courier
PER,AMAZONAS                                                                        ,BONGARA                                                                         ,SAN CARLOS                                                                      ,*,*,15.42,17.6,24,Olva Courier
PER,AMAZONAS                                                                        ,BONGARA                                                                         ,SHIPASBAMBA                                                                     ,*,*,15.42,17.6,34.5,Serpost
PER,AMAZONAS                                                                        ,BONGARA                                                                         ,VALERA                                                                          ,*,*,17.62,19.8,26,Olva Courier
PER,AMAZONAS                                                                        ,BONGARA                                                                         ,YAMBRASBAMBA                                                                    ,*,*,17.62,19.8,38.5,Serpost
PER,AMAZONAS                                                                        ,CHACHAPOYAS                                                                     ,CHACHAPOYAS                                                                     ,*,*,19.82,22,28,Olva Courier
PER,AMAZONAS                                                                        ,CHACHAPOYAS                                                                     ,ASUNCION                                                                        ,*,*,19.82,22,42.5,Serpost
PER,AMAZONAS                                                                        ,CHACHAPOYAS                                                                     ,BALSAS                                                                          ,*,*,0,2.2,5.5,Serpost
PER,AMAZONAS                                                                        ,CHACHAPOYAS                                                                     ,CHETO                                                                           ,*,*,0,99,0,Recoger en tienda
PER,AMAZONAS                                                                        ,CHACHAPOYAS                                                                     ,CHILIQUIN                                                                       ,*,*,0,2.2,6,Olva Courier
PER,AMAZONAS                                                                        ,CHACHAPOYAS                                                                     ,CHUQUIBAMBA                                                                     ,*,*,2.22,4.4,7.5,Olva Courier
PER,AMAZONAS                                                                        ,CHACHAPOYAS                                                                     ,GRANADA                                                                         ,*,*,2.22,4.4,7.5,Serpost
